Time,Empty,Time,Si_chip,Time,Paper+Si
-0.5338668,-1.53739,15.3486705,-1.05621,15.8825373,-0.480333
-0.4671001,-1.74191,15.4154372,-1.20781,15.949304,-0.777311
-0.4004001,-1.95289,15.4821372,-1.37647,16.016004,-1.02334
-0.3336334,-2.1508,15.5489039,-1.4436,16.0827707,-1.24441
-0.2669334,-2.27576,15.6156039,-1.46455,16.1494707,-1.54329
-0.2001667,-2.34927,15.6823706,-1.58623,16.2162374,-1.66321
-0.1334667,-2.41909,15.7490706,-1.66306,16.2829374,-1.73558
-0.0667,-2.50513,15.8158373,-1.86406,16.3497041,-1.81448
0,-2.45663,15.8825373,-1.75616,16.4164041,-1.79528
0.0667667,-2.24426,15.949304,-1.82007,16.4831708,-1.73433
0.1334667,-1.41557,16.016004,-1.39436,16.5498708,-1.61337
0.2002334,-0.34204,16.0827707,-0.546677,16.6166375,-1.31824
0.2669334,0.112438,16.1494707,-0.179337,16.6833375,-0.941959
0.3337001,0.159673,16.2162374,0.1297,16.7501042,-0.528876
0.4004001,0.326291,16.2829374,0.24028,16.8168042,-0.229881
0.4671668,0.337848,16.3497041,0.289482,16.8835709,-0.0181359
0.5338668,0.355155,16.4164041,0.370117,16.9502709,0.0778291
0.6006335,0.305339,16.4831708,0.331482,17.0170376,0.263555
0.6673335,0.320121,16.5498708,0.25589,17.0837376,0.2961
0.7341002,0.324959,16.6166375,0.129845,17.1505043,0.228299
0.8008002,0.154837,16.6833375,0.302727,17.2172043,0.147637
0.8675669,-0.246043,16.7501042,0.187103,17.283971,-0.0208977
0.9342669,-0.900551,16.8168042,-0.0906601,17.350671,-0.322414
1.0010336,-1.98291,16.8835709,-0.654564,17.4174377,-0.71474
1.0677336,-3.76546,16.9502709,-1.35381,17.4841377,-1.39161
1.1345003,-6.76157,17.0170376,-2.45531,17.5509044,-2.36728
1.2012003,-11.6705,17.0837376,-4.4954,17.6176044,-4.06347
1.267967,-21.0619,17.1505043,-8.04333,17.6843711,-6.89608
1.334667,-39.3824,17.2172043,-14.5007,17.7510711,-12.0781
1.4014337,-77.8209,17.283971,-28.0002,17.8178378,-22.7484
1.4681337,-142.921,17.350671,-56.7497,17.8845378,-42.9766
1.5349004,-239.475,17.4174377,-110.943,17.9513045,-76.0857
1.6016004,-331.381,17.4841377,-191.174,18.0180045,-117.265
1.6683671,-358.977,17.5509044,-259.84,18.0847712,-148.925
1.7350671,-198.907,17.6176044,-237.96,18.1514712,-146.808
1.8018338,164.564,17.6843711,-48.9867,18.2182379,-97.5695
1.8685338,333.706,17.7510711,169.949,18.2849379,-19.0623
1.9353005,289.627,17.8178378,206.534,18.3517046,64.4364
2.0020005,275.283,17.8845378,193.617,18.4184046,130.07
2.0687672,224.879,17.9513045,177.643,18.4851713,155.026
2.1354672,178.742,18.0180045,145.411,18.5518713,143.421
2.2022339,131.606,18.0847712,115.493,18.618638,120.321
2.2689339,92.0242,18.1514712,82.7645,18.685338,98.153
2.3357006,61.8572,18.2182379,58.7877,18.7521047,77.127
2.4024006,37.0497,18.2849379,37.5046,18.8188047,56.6054
2.4691673,19.6359,18.3517046,23.3036,18.8855714,39.0091
2.5358673,6.48665,18.4184046,12.0992,18.9522714,24.2497
2.602634,-2.94009,18.4851713,4.16327,19.0190381,13.0417
2.669334,-9.08901,18.5518713,-2.26328,19.08575144,7.86514
2.7361007,-11.4553,18.618638,-5.44273,19.15248479,5.93326
2.8028007,-9.55067,18.685338,-5.76043,19.21921814,3.0579
2.8695674,-7.96812,18.7521047,-4.4576,19.28595149,-1.22743
2.9362674,-9.23171,18.8188047,-4.74156,19.35268484,-4.83863
3.0030341,-9.04344,18.8855714,-5.11329,19.41941819,-5.5334
3.0697341,-9.83794,18.9522714,-5.49632,19.48615154,-4.62841
3.1365008,-11.3325,19.0190381,-6.69046,19.55288489,-4.79477
3.2032008,-11.8725,19.08575144,-7.48755,19.61961824,-6.19277
3.2699675,-12.2254,19.15248479,-7.75235,19.68635159,-7.61465
3.3366675,-12.2779,19.21921814,-8.00774,19.75308494,-8.44589
3.4034342,-11.9704,19.28595149,-7.77401,19.81981829,-8.37903
3.4701342,-11.4782,19.35268484,-7.68273,19.88655164,-7.42188
3.5369009,-11.1825,19.41941819,-7.44564,19.95328499,-6.94467
3.6036009,-10.8939,19.48615154,-7.30297,20.02001834,-7.16858
3.6703676,-10.5169,19.55288489,-7.13557,20.08675169,-7.33936
3.7370676,-10.474,19.61961824,-6.88506,20.15348504,-7.28169
3.8038343,-10.3562,19.68635159,-6.8677,20.22021839,-6.78727
3.8705343,-10.5888,19.75308494,-6.49969,20.28695174,-6.35494
3.937301,-10.697,19.81981829,-6.59638,20.35368509,-6.43475
4.004001,-11.3098,19.88655164,-6.75834,20.42041844,-6.72528
4.0707677,-12.1392,19.95328499,-7.23289,20.48715179,-6.82919
4.1374677,-12.355,20.02001834,-7.80113,20.55388514,-6.8415
4.2042344,-12.6397,20.08675169,-8.16265,20.62061849,-6.97279
4.2709344,-12.1834,20.15348504,-8.37672,20.68735184,-7.07195
4.3377011,-10.4785,20.22021839,-7.5507,20.75408519,-7.05589
4.4044011,-8.30178,20.28695174,-6.60901,20.82081854,-6.53351
4.4711678,-5.85686,20.35368509,-4.80461,20.88755189,-5.6892
4.5378678,-3.75888,20.42041844,-3.34319,20.95428524,-4.63571
4.6046345,-2.89926,20.48715179,-2.20579,21.02101859,-4.18282
4.6713345,-3.54881,20.55388514,-1.86541,21.08775194,-4.5468
4.7381012,-5.21918,20.62061849,-2.65221,21.15448529,-5.4237
4.8048012,-6.79733,20.68735184,-3.99383,21.22121864,-6.78225
4.8715679,-7.52645,20.75408519,-4.93577,21.28795199,-7.7253
4.9382679,-7.11696,20.82081854,-4.99381,21.35468534,-8.08952
5.0050346,-6.41417,20.88755189,-4.59525,21.42141869,-7.63638
5.0717346,-6.23801,20.95428524,-3.87514,21.48815204,-6.24476
5.1385013,-6.91633,21.02101859,-4.37193,21.55488539,-4.38845
5.2052013,-7.32188,21.08775194,-4.84621,21.62161874,-2.34908
5.271968,-6.98243,21.15448529,-4.69286,21.68835209,-0.755094
5.338668,-6.73486,21.22121864,-4.60397,21.75508544,0.076732
5.4054347,-6.51563,21.28795199,-4.42441,21.82181879,0.337366
5.4721347,-6.5093,21.35468534,-4.57896,21.88855214,0.136338
5.5389014,-6.52879,21.42141869,-4.75063,21.95528549,-0.387059
5.6056014,-6.29465,21.48815204,-4.48181,22.02201884,-1.07317
5.6723681,-5.69312,21.55488539,-4.24925,22.08875219,-1.69649
5.7390681,-5.26355,21.62161874,-3.68882,22.15548554,-2.13003
5.8058348,-5.31647,21.68835209,-3.54908,22.22221889,-2.3476
5.8725348,-5.11104,21.75508544,-3.59372,22.28895224,-2.5304
5.9393015,-4.81441,21.82181879,-3.2998,22.35568559,-2.64457
6.0060015,-4.59232,21.88855214,-3.40189,22.42241894,-2.82807
6.0727682,-4.37932,21.95528549,-3.30291,22.48915229,-2.98523
6.1394682,-3.9886,22.02201884,-3.19761,22.55588564,-3.07331
6.2062349,-3.37071,22.08875219,-2.64965,22.62261899,-2.99118
6.2729349,-3.19496,22.15548554,-2.45814,22.68935234,-2.84735
6.3397016,-2.77211,22.22221889,-2.2656,22.75608569,-2.60208
6.4064016,-2.34393,22.28895224,-1.85797,22.82281904,-2.40619
6.4731683,-2.03227,22.35568559,-1.72528,22.88955239,-2.20066
6.5398683,-1.57149,22.42241894,-1.49237,22.95628574,-1.94429
6.606635,-1.07176,22.48915229,-1.17767,23.02301909,-1.68355
6.673335,-0.573533,22.55588564,-0.670502,23.08975244,-1.3403
6.7401017,-0.436517,22.62261899,-0.632965,23.15648579,-1.10607
6.8068017,-0.245339,22.68935234,-0.608841,23.22321914,-0.865418
6.8735684,0.297921,22.75608569,-0.388718,23.28995249,-0.720019
6.9402684,0.84435,22.82281904,0.0611115,23.35668584,-0.31702
7.0070351,1.34262,22.88955239,0.479691,23.42341919,-0.0585837
7.0737351,1.28408,22.95628574,0.881981,23.49015254,0.267178
7.1405018,1.25038,23.02301909,0.510597,23.55688589,0.386288
7.2072018,1.53592,23.08975244,0.62973,23.62361924,0.481684
7.2739685,1.62757,23.15648579,0.750618,23.69035259,0.404329
7.3406685,1.86686,23.22321914,0.841606,23.75708594,0.444187
7.4074352,2.07818,23.28995249,1.22424,23.82381929,0.560233
7.4741352,2.09478,23.35668584,1.39713,23.89055264,0.682332
7.5409019,1.82441,23.42341919,1.28942,23.95728599,0.721959
7.6076019,1.88904,23.49015254,1.08026,24.02401934,0.842804
7.6743686,2.28756,23.55688589,1.31557,24.09075269,0.902835
7.7410686,2.30917,23.62361924,1.55657,24.15748604,0.889129
