Time,Empty,Time,Si_chip,Time,Paper Only,Time,Paper+Si
-3.2699008,-0.743863,12.6126365,-0.884972,-2.736034,-0.737083,13.1465033,-0.254775
-3.2032008,-0.633475,12.6793365,-0.501541,-2.669334,-0.782257,13.2132033,-0.406809
-3.1364341,-0.681557,12.7461032,-0.636421,-2.6025673,-0.692818,13.27997,-0.467875
-3.0697341,-0.683209,12.8128032,-0.544708,-2.5358673,-0.794891,13.34667,-0.53687
-3.0029674,-0.653196,12.8795699,-0.69104,-2.4691006,-0.698746,13.4134367,-0.549813
-2.9362674,-0.646051,12.9462699,-0.531479,-2.4024006,-0.6884,13.4801367,-0.616872
-2.8695007,-0.556534,13.0130366,-0.595367,-2.3356339,-0.503685,13.5469034,-0.642558
-2.8028007,-0.435742,13.0797366,-0.441353,-2.2689339,-0.502525,13.6136034,-0.580389
-2.736034,-0.194634,13.1465033,-0.493973,-2.2021672,-0.23243,13.6803701,-0.527333
-2.669334,0.0340483,13.2132033,-0.243423,-2.1354672,-0.143509,13.7470701,-0.394632
-2.6025673,0.22057,13.27997,-0.0543137,-2.0687005,0.0467987,13.8138368,-0.228717
-2.5358673,0.488503,13.34667,0.122589,-2.0020005,0.224747,13.8805368,-0.147203
-2.4691006,0.797254,13.4134367,0.346519,-1.9352338,0.46312,13.9473035,0.00958509
-2.4024006,1.02708,13.4801367,0.442093,-1.8685338,0.770889,14.0140035,0.238937
-2.3356339,1.24571,13.5469034,0.675224,-1.8017671,1.15874,14.0807702,0.381235
-2.2689339,1.53012,13.6136034,0.945702,-1.7350671,1.20712,14.1474702,0.540453
-2.2021672,1.68301,13.6803701,1.19922,-1.6683004,1.28426,14.2142369,0.698589
-2.1354672,1.88368,13.7470701,1.17782,-1.6016004,1.45612,14.2809369,0.864974
-2.0687005,1.94838,13.8138368,1.34097,-1.5348337,1.68784,14.3477036,0.978334
-2.0020005,2.04192,13.8805368,1.62894,-1.4681337,1.70018,14.4144036,1.13016
-1.9352338,2.08021,13.9473035,1.5302,-1.401367,1.79012,14.4811703,1.20773
-1.8685338,2.06918,14.0140035,1.60218,-1.334667,1.77958,14.5478703,1.25522
-1.8017671,2.27281,14.0807702,1.70737,-1.2679003,1.89779,14.614637,1.32182
-1.7350671,2.27349,14.1474702,1.76782,-1.2012003,1.97391,14.681337,1.36381
-1.6683004,2.3167,14.2142369,1.84843,-1.1344336,1.97474,14.7481037,1.38242
-1.6016004,2.30695,14.2809369,1.80267,-1.0677336,1.98231,14.8148037,1.49757
-1.5348337,2.25457,14.3477036,1.91716,-1.0009669,2.05698,14.8815704,1.46844
-1.4681337,1.96526,14.4144036,1.90169,-0.9342669,1.92522,14.9482704,1.54476
-1.401367,1.61042,14.4811703,1.39013,-0.8675002,1.53664,15.0150371,1.38121
-1.334667,1.2637,14.5478703,1.24654,-0.8008002,1.37391,15.0817371,1.22197
-1.2679003,0.907579,14.614637,0.968353,-0.7340335,1.04892,15.1485038,1.07281
-1.2012003,0.695387,14.681337,0.699577,-0.6673335,0.815605,15.2152038,0.831801
-1.1344336,0.547543,14.7481037,0.47821,-0.6005668,0.592651,15.2819705,0.680817
-1.0677336,0.389629,14.8148037,0.366295,-0.5338668,0.431198,15.3486705,0.471331
-1.0009669,0.135097,14.8815704,0.283546,-0.4671001,0.187241,15.4154372,0.384212
-0.9342669,0.0358158,14.9482704,0.152138,-0.4004001,0.0839233,15.4821372,0.363282
-0.8675002,-0.226067,15.0150371,-0.0181351,-0.3336334,-0.106285,15.5489039,0.268616
-0.8008002,-0.544742,15.0817371,-0.37883,-0.2669334,-0.275162,15.6156039,0.1042
-0.7340335,-0.747936,15.1485038,-0.535759,-0.2001667,-0.519852,15.6823706,-0.0529845
-0.6673335,-1.03749,15.2152038,-0.767982,-0.1334667,-0.698883,15.7490706,-0.10001
-0.6005668,-1.28637,15.2819705,-0.94857,-0.0667,-0.937546,15.8158373,-0.280558
-0.5338668,-1.53739,15.3486705,-1.05621,0,-1.21818,15.8825373,-0.480333
-0.4671001,-1.74191,15.4154372,-1.20781,0.0667667,-1.37469,15.949304,-0.777311
-0.4004001,-1.95289,15.4821372,-1.37647,0.1334667,-1.54449,16.016004,-1.02334
-0.3336334,-2.1508,15.5489039,-1.4436,0.2002334,-1.83044,16.0827707,-1.24441
-0.2669334,-2.27576,15.6156039,-1.46455,0.2669334,-2.055,16.1494707,-1.54329
-0.2001667,-2.34927,15.6823706,-1.58623,0.3337001,-2.02064,16.2162374,-1.66321
-0.1334667,-2.41909,15.7490706,-1.66306,0.4004001,-2.09332,16.2829374,-1.73558
-0.0667,-2.50513,15.8158373,-1.86406,0.4671668,-2.0887,16.3497041,-1.81448
0,-2.45663,15.8825373,-1.75616,0.5338668,-2.16537,16.4164041,-1.79528
0.0667667,-2.24426,15.949304,-1.82007,0.6006335,-1.92588,16.4831708,-1.73433
0.1334667,-1.41557,16.016004,-1.39436,0.6673335,-1.49125,16.5498708,-1.61337
0.2002334,-0.34204,16.0827707,-0.546677,0.7341002,-1.07523,16.6166375,-1.31824
0.2669334,0.112438,16.1494707,-0.179337,0.8008002,-0.432816,16.6833375,-0.941959
0.3337001,0.159673,16.2162374,0.1297,0.8675669,-0.0381851,16.7501042,-0.528876
0.4004001,0.326291,16.2829374,0.24028,0.9342669,0.249565,16.8168042,-0.229881
0.4671668,0.337848,16.3497041,0.289482,1.0010336,0.400368,16.8835709,-0.0181359
0.5338668,0.355155,16.4164041,0.370117,1.0677336,0.598152,16.9502709,0.0778291
0.6006335,0.305339,16.4831708,0.331482,1.1345003,0.581833,17.0170376,0.263555
0.6673335,0.320121,16.5498708,0.25589,1.2012003,0.501038,17.0837376,0.2961
0.7341002,0.324959,16.6166375,0.129845,1.267967,0.188622,17.1505043,0.228299
0.8008002,0.154837,16.6833375,0.302727,1.334667,-0.129463,17.2172043,0.147637
0.8675669,-0.246043,16.7501042,0.187103,1.4014337,-0.659447,17.283971,-0.0208977
0.9342669,-0.900551,16.8168042,-0.0906601,1.4681337,-1.26929,17.350671,-0.322414
1.0010336,-1.98291,16.8835709,-0.654564,1.5349004,-2.30871,17.4174377,-0.71474
1.0677336,-3.76546,16.9502709,-1.35381,1.6016004,-3.82851,17.4841377,-1.39161
1.1345003,-6.76157,17.0170376,-2.45531,1.6683671,-6.47139,17.5509044,-2.36728
1.2012003,-11.6705,17.0837376,-4.4954,1.7350671,-11.1246,17.6176044,-4.06347
1.267967,-21.0619,17.1505043,-8.04333,1.8018338,-19.6236,17.6843711,-6.89608
1.334667,-39.3824,17.2172043,-14.5007,1.8685338,-35.3386,17.7510711,-12.0781
1.4014337,-77.8209,17.283971,-28.0002,1.9353005,-64.2417,17.8178378,-22.7484
1.4681337,-142.921,17.350671,-56.7497,2.0020005,-112.06,17.8845378,-42.9766
1.5349004,-239.475,17.4174377,-110.943,2.0687672,-172.028,17.9513045,-76.0857
1.6016004,-331.381,17.4841377,-191.174,2.1354672,-220.413,18.0180045,-117.265
1.6683671,-358.977,17.5509044,-259.84,2.2022339,-221.006,18.0847712,-148.925
1.7350671,-198.907,17.6176044,-237.96,2.2689339,-149.272,18.1514712,-146.808
1.8018338,164.564,17.6843711,-48.9867,2.3357006,-30.2443,18.2182379,-97.5695
1.8685338,333.706,17.7510711,169.949,2.4024006,94.6092,18.2849379,-19.0623
1.9353005,289.627,17.8178378,206.534,2.4691673,193.144,18.3517046,64.4364
2.0020005,275.283,17.8845378,193.617,2.5358673,235.593,18.4184046,130.07
2.0687672,224.879,17.9513045,177.643,2.602634,220.579,18.4851713,155.026
2.1354672,178.742,18.0180045,145.411,2.669334,181.436,18.5518713,143.421
2.2022339,131.606,18.0847712,115.493,2.7361007,143.298,18.618638,120.321
2.2689339,92.0242,18.1514712,82.7645,2.8028007,112.35,18.685338,98.153
2.3357006,61.8572,18.2182379,58.7877,2.8695674,81.6082,18.7521047,77.127
2.4024006,37.0497,18.2849379,37.5046,2.9362674,55.9469,18.8188047,56.6054
2.4691673,19.6359,18.3517046,23.3036,3.0030341,34.8725,18.8855714,39.0091
2.5358673,6.48665,18.4184046,12.0992,3.0697341,18.4131,18.9522714,24.2497
2.602634,-2.94009,18.4851713,4.16327,3.1365008,9.73666,19.0190381,13.0417
2.669334,-9.08901,18.5518713,-2.26328,3.2032008,6.93897,19.08575144,7.86514
2.7361007,-11.4553,18.618638,-5.44273,3.2699675,3.16619,19.15248479,5.93326
2.8028007,-9.55067,18.685338,-5.76043,3.3366675,-3.17734,19.21921814,3.0579
2.8695674,-7.96812,18.7521047,-4.4576,3.4034342,-9.00219,19.28595149,-1.22743
2.9362674,-9.23171,18.8188047,-4.74156,3.4701342,-10.4023,19.35268484,-4.83863
3.0030341,-9.04344,18.8855714,-5.11329,3.5369009,-8.41267,19.41941819,-5.5334
3.0697341,-9.83794,18.9522714,-5.49632,3.6036009,-8.02885,19.48615154,-4.62841
3.1365008,-11.3325,19.0190381,-6.69046,3.6703676,-9.59048,19.55288489,-4.79477
3.2032008,-11.8725,19.08575144,-7.48755,3.7370676,-11.8293,19.61961824,-6.19277
3.2699675,-12.2254,19.15248479,-7.75235,3.8038343,-12.7596,19.68635159,-7.61465
3.3366675,-12.2779,19.21921814,-8.00774,3.8705343,-12.7915,19.75308494,-8.44589
3.4034342,-11.9704,19.28595149,-7.77401,3.937301,-11.6809,19.81981829,-8.37903
3.4701342,-11.4782,19.35268484,-7.68273,4.004001,-10.7582,19.88655164,-7.42188
3.5369009,-11.1825,19.41941819,-7.44564,4.0707677,-11.1171,19.95328499,-6.94467
3.6036009,-10.8939,19.48615154,-7.30297,4.1374677,-11.395,20.02001834,-7.16858
3.6703676,-10.5169,19.55288489,-7.13557,4.2042344,-11.1799,20.08675169,-7.33936
3.7370676,-10.474,19.61961824,-6.88506,4.2709344,-10.4363,20.15348504,-7.28169
3.8038343,-10.3562,19.68635159,-6.8677,4.3377011,-9.79342,20.22021839,-6.78727
3.8705343,-10.5888,19.75308494,-6.49969,4.4044011,-9.80048,20.28695174,-6.35494
3.937301,-10.697,19.81981829,-6.59638,4.4711678,-10.4236,20.35368509,-6.43475
4.004001,-11.3098,19.88655164,-6.75834,4.5378678,-10.6217,20.42041844,-6.72528
4.0707677,-12.1392,19.95328499,-7.23289,4.6046345,-10.5705,20.48715179,-6.82919
4.1374677,-12.355,20.02001834,-7.80113,4.6713345,-10.5885,20.55388514,-6.8415
4.2042344,-12.6397,20.08675169,-8.16265,4.7381012,-10.7411,20.62061849,-6.97279
4.2709344,-12.1834,20.15348504,-8.37672,4.8048012,-10.7751,20.68735184,-7.07195
4.3377011,-10.4785,20.22021839,-7.5507,4.8715679,-9.98421,20.75408519,-7.05589
4.4044011,-8.30178,20.28695174,-6.60901,4.9382679,-8.65224,20.82081854,-6.53351
4.4711678,-5.85686,20.35368509,-4.80461,5.0050346,-7.18799,20.88755189,-5.6892
4.5378678,-3.75888,20.42041844,-3.34319,5.0717346,-6.40972,20.95428524,-4.63571
4.6046345,-2.89926,20.48715179,-2.20579,5.1385013,-6.77206,21.02101859,-4.18282
4.6713345,-3.54881,20.55388514,-1.86541,5.2052013,-7.99474,21.08775194,-4.5468
4.7381012,-5.21918,20.62061849,-2.65221,5.271968,-10.0391,21.15448529,-5.4237
4.8048012,-6.79733,20.68735184,-3.99383,5.338668,-11.1746,21.22121864,-6.78225
4.8715679,-7.52645,20.75408519,-4.93577,5.4054347,-11.7152,21.28795199,-7.7253
4.9382679,-7.11696,20.82081854,-4.99381,5.4721347,-10.7534,21.35468534,-8.08952
5.0050346,-6.41417,20.88755189,-4.59525,5.5389014,-8.76257,21.42141869,-7.63638
5.0717346,-6.23801,20.95428524,-3.87514,5.6056014,-6.03456,21.48815204,-6.24476
5.1385013,-6.91633,21.02101859,-4.37193,5.6723681,-3.01478,21.55488539,-4.38845
5.2052013,-7.32188,21.08775194,-4.84621,5.7390681,-0.648399,21.62161874,-2.34908
5.271968,-6.98243,21.15448529,-4.69286,5.8058348,0.291016,21.68835209,-0.755094
5.338668,-6.73486,21.22121864,-4.60397,5.8725348,0.710052,21.75508544,0.076732
5.4054347,-6.51563,21.28795199,-4.42441,5.9393015,0.207344,21.82181879,0.337366
5.4721347,-6.5093,21.35468534,-4.57896,6.0060015,-0.39566,21.88855214,0.136338
5.5389014,-6.52879,21.42141869,-4.75063,6.0727682,-1.42178,21.95528549,-0.387059
5.6056014,-6.29465,21.48815204,-4.48181,6.1394682,-2.4017,22.02201884,-1.07317
5.6723681,-5.69312,21.55488539,-4.24925,6.2062349,-3.00439,22.08875219,-1.69649
5.7390681,-5.26355,21.62161874,-3.68882,6.2729349,-3.462,22.15548554,-2.13003
