Var1,Var2,Var3
84.1871,2.8125e-06,NaN
84.1948,-5.6875e-06,NaN
84.2025,-2.9375e-06,NaN
84.2102,-7.375e-06,NaN
84.2179,-3.125e-07,NaN
84.2256,-1.9375e-06,NaN
84.2333,3.4375e-06,NaN
84.241,2.625e-06,NaN
84.2487,7.5625e-06,NaN
84.2564,3.375e-06,NaN
84.2641,9.8125e-06,NaN
84.2718,8.6875e-06,NaN
84.2795,3.3125e-06,NaN
84.2872,5.3125e-06,NaN
84.2949,1e-06,NaN
84.3026,-3.5625e-06,NaN
84.3103,-2.9375e-06,NaN
84.318,3.125e-07,NaN
84.3257,-1.875e-07,NaN
84.3334,-6.25e-07,NaN
84.3411,2.5e-06,NaN
84.3488,2.6875e-06,NaN
84.3565,1.75e-06,NaN
84.3642,6.875e-07,NaN
84.3719,2.5e-07,NaN
84.3796,-7.5e-07,NaN
84.3873,1.6875e-06,NaN
84.395,2.3125e-06,NaN
84.4027,3.375e-06,NaN
84.4104,2.8125e-06,NaN
84.4181,1.125e-06,NaN
84.4258,2.9375e-06,NaN
84.4335,3.8125e-06,NaN
84.4412,6.3125e-06,NaN
84.4489,5.6875e-06,NaN
84.4566,3.1875e-06,NaN
84.4643,6.875e-07,NaN
84.472,6.25e-08,NaN
84.4797,1.25e-06,NaN
84.4874,6.25e-08,NaN
84.4951,-5e-07,NaN
84.5028,1.25e-06,NaN
84.5105,4.625e-06,NaN
84.5182,7.5625e-06,NaN
84.5259,9.125e-06,NaN
84.5336,8.9375e-06,NaN
84.5413,6.125e-06,NaN
84.549,1.9375e-06,NaN
84.5567,3.6875e-06,NaN
84.5644,6.5e-06,NaN
84.5721,3.1875e-06,NaN
84.5798,-1.5e-06,NaN
84.5875,1.9375e-06,NaN
84.5952,6.1875e-06,NaN
84.6029,5.0625e-06,NaN
84.6105,3.625e-06,NaN
84.6182,4.9375e-06,NaN
84.6259,7.8125e-06,NaN
84.6336,4.1875e-06,NaN
84.6413,8.125e-07,NaN
84.649,3.5e-06,NaN
84.6567,6.5625e-06,NaN
84.6644,1.8125e-06,NaN
84.6721,5.75e-06,NaN
84.6798,1.0625e-05,NaN
84.6875,5.125e-06,NaN
84.6952,1.10625e-05,NaN
84.7029,8.125e-06,NaN
84.7106,3.8125e-06,NaN
84.7183,7.4375e-06,NaN
84.726,2.5e-07,NaN
84.7337,3.5625e-06,NaN
84.7414,1.1875e-06,NaN
84.7491,2.6875e-06,NaN
84.7568,3.5625e-06,NaN
84.7645,2.75e-06,NaN
84.7722,9.1875e-06,NaN
84.7799,5.9375e-06,NaN
84.7876,1.43125e-05,NaN
84.7953,8.75e-06,NaN
84.803,8.875e-06,NaN
84.8107,1.00625e-05,NaN
84.8184,1.0625e-06,NaN
84.8261,5.5e-06,NaN
84.8338,-1.9375e-06,NaN
84.8415,1.75e-06,NaN
84.8492,2.1875e-06,NaN
84.8569,-1.4375e-06,NaN
84.8646,1e-06,NaN
84.8723,3.6875e-06,NaN
84.88,6.375e-06,NaN
84.8877,6.5625e-06,NaN
84.8954,3e-06,NaN
84.9031,-1.25e-06,NaN
84.9108,-4.375e-06,NaN
84.9185,-5.6875e-06,NaN
84.9262,-4.4375e-06,NaN
84.9339,-2.375e-06,NaN
84.9416,-2.625e-06,NaN
84.9493,-2.0625e-06,NaN
84.957,-6.25e-07,NaN
84.9647,-3.125e-07,NaN
84.9724,-1.5625e-06,NaN
84.9801,-2.4375e-06,NaN
84.9878,-4.8125e-06,NaN
84.9955,-5.25e-06,NaN
85.0032,-4.375e-06,NaN
85.0109,-2.5e-06,NaN
85.0186,7.5e-07,NaN
85.0263,1.8125e-06,NaN
85.034,5.6875e-06,NaN
85.0416,4.0625e-06,NaN
85.0493,4.375e-07,NaN
85.057,6.25e-07,NaN
