Var1,Var2,Var3
83.4019,-5e-07,8.625e-06
83.4096,-1.875e-06,8e-06
83.4173,-1e-06,1.1e-05
83.425,-3.625e-06,9.625e-06
83.4327,-4.25e-06,9.375e-06
83.4404,-3.5e-06,9.625e-06
83.4481,-3.875e-06,9e-06
83.4558,-3.75e-06,1e-05
83.4635,-4.125e-06,1.0875e-05
83.4712,-4e-06,1.025e-05
83.4789,-4.25e-06,1e-05
83.4866,-3.25e-06,9e-06
83.4943,-1.625e-06,9.375e-06
83.502,-1.75e-06,1e-05
83.5097,-7.5e-07,9.625e-06
83.5174,-1e-06,8.625e-06
83.5251,-1.125e-06,9e-06
83.5328,1.5e-06,9.25e-06
83.5405,1.5e-06,9.875e-06
83.5482,3.75e-06,8.625e-06
83.5559,4.75e-06,8.5e-06
83.5636,3.625e-06,8.375e-06
83.5713,5.375e-06,9.375e-06
83.579,6.875e-06,9.75e-06
83.5867,7.125e-06,9.875e-06
83.5944,6.625e-06,9.25e-06
83.6021,9.125e-06,9.375e-06
83.6098,1.0375e-05,9.25e-06
83.6175,1.225e-05,9.5e-06
83.6252,1.4625e-05,1e-05
83.6329,1.4625e-05,9.875e-06
83.6406,1.525e-05,9.875e-06
83.6483,1.575e-05,9.875e-06
83.656,1.625e-05,9.375e-06
83.6637,1.35e-05,9.125e-06
83.6714,1.35e-05,9.125e-06
83.6791,1.275e-05,9.125e-06
83.6868,1.25e-05,8.625e-06
83.6945,1.2875e-05,8.75e-06
83.7022,1.3e-05,9e-06
83.7099,9.25e-06,8.625e-06
83.7176,1e-05,9.5e-06
83.7253,7.5e-06,9.125e-06
83.7329,7e-06,9.375e-06
83.7406,4.875e-06,9.125e-06
83.7483,3.125e-06,8.5e-06
83.756,2.375e-06,9.875e-06
83.7637,1.625e-06,9.375e-06
83.7714,1.375e-06,9.375e-06
83.7791,3.75e-07,9.75e-06
83.7868,-1.25e-07,9.5e-06
83.7945,-7.5e-07,9.625e-06
83.8022,-5e-07,8.25e-06
83.8099,-1.125e-06,9.125e-06
83.8176,-1.25e-06,9.5e-06
83.8253,-1.125e-06,8.375e-06
83.833,-2.125e-06,8.75e-06
83.8407,-1.875e-06,9.875e-06
83.8484,-3.5e-06,9.125e-06
83.8561,-3.875e-06,9e-06
83.8638,-5.5e-06,9.875e-06
83.8715,-4.625e-06,8.875e-06
83.8792,-4.375e-06,9.75e-06
83.8869,-3.625e-06,7.875e-06
83.8946,-2.25e-06,9.375e-06
83.9023,1.25e-07,9.125e-06
83.91,2.125e-06,1.0375e-05
83.9177,2.125e-06,8.5e-06
83.9254,4.25e-06,9.625e-06
83.9331,5.625e-06,9.25e-06
83.9408,7.125e-06,9.25e-06
83.9485,6.625e-06,8.75e-06
83.9562,7.5e-06,8.375e-06
83.9639,8e-06,9.875e-06
83.9716,9.625e-06,9.5e-06
83.9793,9.125e-06,9.75e-06
83.987,9.375e-06,9.5e-06
83.9947,1.0625e-05,9.125e-06
84.0024,1e-05,9e-06
84.0101,1.0875e-05,8.875e-06
84.0178,1.225e-05,9.375e-06
84.0255,1.3375e-05,9e-06
84.0332,1.2375e-05,8.75e-06
84.0409,1.1e-05,9.125e-06
84.0486,1.3875e-05,9e-06
84.0563,1.65e-05,9.375e-06
84.064,1.6e-05,9.375e-06
84.0717,1.2875e-05,9.125e-06
84.0794,1.475e-05,9.375e-06
84.0871,1.725e-05,9.375e-06
84.0948,1.5375e-05,9.25e-06
84.1025,1.4625e-05,9.5e-06
84.1102,1.2e-05,9.5e-06
84.1179,9.5e-06,9e-06
84.1256,1e-05,9.25e-06
84.1333,8.5e-06,9.375e-06
84.141,8.625e-06,9.375e-06
84.1487,7e-06,8.5e-06
84.1563,9.25e-06,9.5e-06
84.164,6.25e-06,8.75e-06
84.1717,1.125e-05,8.875e-06
84.1795,9e-06,9.375e-06
84.1871,1.075e-05,9e-06
84.1948,9.125e-06,8.5e-06
84.2025,9.125e-06,9.625e-06
84.2102,9.125e-06,9.25e-06
84.2179,8.625e-06,9.125e-06
84.2256,7.625e-06,9.625e-06
84.2333,8.125e-06,9e-06
84.241,7.25e-06,9.375e-06
84.2487,7e-06,9.125e-06
84.2564,4.75e-06,8.875e-06
84.2641,5.875e-06,9.125e-06
84.2718,6.25e-06,1.0375e-05
84.2795,3.875e-06,9.125e-06
84.2872,4.875e-06,8.625e-06
84.2949,6e-06,9.625e-06
84.3026,7.125e-06,1.0125e-05
84.3103,5.625e-06,8.875e-06
84.318,8e-06,9.625e-06
84.3257,7.125e-06,9.625e-06
84.3334,8.875e-06,9e-06
84.3411,1.15e-05,9.25e-06
84.3488,1.1e-05,9.5e-06
84.3565,1.0125e-05,8.875e-06
84.3642,8.625e-06,8.75e-06
84.3719,8.375e-06,8.875e-06
84.3796,7e-06,9.25e-06
84.3873,5.25e-06,8.875e-06
84.395,3.75e-06,9e-06
84.4027,4.25e-06,8.625e-06
84.4104,6.25e-06,1e-05
84.4181,5.75e-06,9.5e-06
84.4258,7.375e-06,9.375e-06
84.4335,9.125e-06,8.375e-06
84.4412,1.0625e-05,9.5e-06
84.4489,1.0875e-05,1e-05
84.4566,1.025e-05,8.625e-06
84.4643,1.3e-05,9.25e-06
84.472,1.1625e-05,9e-06
84.4797,1.075e-05,9.625e-06
84.4874,8.625e-06,9.875e-06
84.4951,5.625e-06,8.625e-06
84.5028,6.375e-06,9e-06
84.5105,5.75e-06,9.5e-06
84.5182,5.125e-06,9.5e-06
84.5259,4.25e-06,8.25e-06
84.5336,5e-06,8.75e-06
84.5413,6.875e-06,9.625e-06
84.549,5.625e-06,9.25e-06
84.5567,6.25e-06,9.5e-06
84.5644,5.625e-06,9e-06
84.5721,7.25e-06,8.75e-06
84.5798,1.0375e-05,9.375e-06
84.5875,9.875e-06,9.5e-06
84.5952,1.075e-05,9.25e-06
84.6029,8.875e-06,8.875e-06
84.6105,1.0125e-05,9.625e-06
84.6182,7.875e-06,9.125e-06
84.6259,9.75e-06,9.25e-06
84.6336,9.75e-06,9.125e-06
84.6413,8.375e-06,9.375e-06
84.649,6.75e-06,8.5e-06
84.6567,6.75e-06,8.5e-06
84.6644,6.625e-06,9.25e-06
84.6721,7.25e-06,9e-06
84.6798,5.875e-06,9e-06
84.6875,7.75e-06,9.125e-06
84.6952,8.625e-06,9.25e-06
84.7029,7.75e-06,8.5e-06
84.7106,9.25e-06,9.375e-06
84.7183,9.75e-06,9.5e-06
84.726,8.5e-06,8.25e-06
84.7337,1.2875e-05,9.5e-06
84.7414,1.1375e-05,9.5e-06
84.7491,1.2125e-05,9.5e-06
84.7568,1.125e-05,9.75e-06
84.7645,1.0625e-05,9.25e-06
84.7722,9.25e-06,8.625e-06
84.7799,6.875e-06,8.875e-06
84.7876,9.25e-06,1.0125e-05
84.7953,1.1e-05,9.625e-06
84.803,1.0625e-05,9.5e-06
84.8107,1.05e-05,9.375e-06
84.8184,1.05e-05,1.025e-05
84.8261,1.3125e-05,9.5e-06
84.8338,1.1125e-05,9.125e-06
84.8415,1.2e-05,8.75e-06
84.8492,1.075e-05,8.75e-06
84.8569,1.2125e-05,9.375e-06
84.8646,1.0375e-05,8.75e-06
84.8723,1.3875e-05,9.375e-06
84.88,1.2e-05,9.75e-06
84.8877,1.325e-05,9.625e-06
84.8954,1.2875e-05,9.75e-06
84.9031,1.4e-05,9.375e-06
84.9108,1.1e-05,8.125e-06
84.9185,1.15e-05,9e-06
84.9262,1.05e-05,9e-06
84.9339,9.125e-06,1e-05
84.9416,7.375e-06,8.875e-06
84.9493,8.875e-06,9.875e-06
84.957,1.025e-05,1.025e-05
84.9647,1.3125e-05,9.875e-06
84.9724,1.1125e-05,9e-06
84.9801,1.15e-05,9.375e-06
84.9878,1.3e-05,9e-06
84.9955,1.2125e-05,9.125e-06
85.0032,1.525e-05,9.5e-06
