Time,Empty,Time,Quartz Only,Time,Paper Only,Time,Quartz+Paper
3.4701342,-11.4782,10.8775694,0.0367279,4.004001,-10.7582,11.4114362,-9.84297
3.5369009,-11.1825,10.9442694,-14.5483,4.0707677,-11.1171,11.4781362,-8.8436
3.6036009,-10.8939,11.0110361,-12.5904,4.1374677,-11.395,11.5449029,-7.99001
3.6703676,-10.5169,11.0777361,-6.15089,4.2042344,-11.1799,11.6116029,-8.59754
3.7370676,-10.474,11.1445028,-11.3343,4.2709344,-10.4363,11.6783696,-9.43637
3.8038343,-10.3562,11.2112028,-6.48211,4.3377011,-9.79342,11.7450696,-9.20508
3.8705343,-10.5888,11.2779695,-12.2935,4.4044011,-9.80048,11.8118363,-8.36073
3.937301,-10.697,11.3446695,-12.5325,4.4711678,-10.4236,11.8785363,-7.86945
4.004001,-11.3098,11.4114362,-2.33479,4.5378678,-10.6217,11.945303,-8.44077
4.0707677,-12.1392,11.4781362,-12.5788,4.6046345,-10.5705,12.012003,-8.8373
4.1374677,-12.355,11.5449029,-12.8173,4.6713345,-10.5885,12.0787697,-8.65683
4.2042344,-12.6397,11.6116029,-7.78729,4.7381012,-10.7411,12.1454697,-8.73496
4.2709344,-12.1834,11.6783696,-10.3565,4.8048012,-10.7751,12.2122364,-8.54748
4.3377011,-10.4785,11.7450696,-8,4.8715679,-9.98421,12.2789364,-8.30241
4.4044011,-8.30178,11.8118363,-11.3751,4.9382679,-8.65224,12.3457031,-7.6398
4.4711678,-5.85686,11.8785363,-4.15622,5.0050346,-7.18799,12.4124031,-6.57804
4.5378678,-3.75888,11.945303,-0.160072,5.0717346,-6.40972,12.4791698,-6.04792
4.6046345,-2.89926,12.012003,-5.64268,5.1385013,-6.77206,12.5458698,-5.31747
4.6713345,-3.54881,12.0787697,-1.02523,5.2052013,-7.99474,12.6126365,-5.49489
4.7381012,-5.21918,12.1454697,-2.16425,5.271968,-10.0391,12.6793365,-7.14977
4.8048012,-6.79733,12.2122364,-1.53497,5.338668,-11.1746,12.7461032,-8.78964
4.8715679,-7.52645,12.2789364,-5.23853,5.4054347,-11.7152,12.8128032,-9.95429
4.9382679,-7.11696,12.3457031,-7.70939,5.4721347,-10.7534,12.8795699,-9.83811
5.0050346,-6.41417,12.4124031,-2.29605,5.5389014,-8.76257,12.9462699,-8.7629
5.0717346,-6.23801,12.4791698,-3.53992,5.6056014,-6.03456,13.0130366,-7.12229
5.1385013,-6.91633,12.5458698,-2.81947,5.6723681,-3.01478,13.0797366,-4.37695
5.2052013,-7.32188,12.6126365,-4.61375,5.7390681,-0.648399,13.1465033,-1.53463
5.271968,-6.98243,12.6793365,-2.45042,5.8058348,0.291016,13.2132033,0.225441
5.338668,-6.73486,12.7461032,-2.61459,5.8725348,0.710052,13.27997,0.822166
5.4054347,-6.51563,12.8128032,-5.74913,5.9393015,0.207344,13.34667,0.963814
5.4721347,-6.5093,12.8795699,-2.95819,6.0060015,-0.39566,13.4134367,0.403709
5.5389014,-6.52879,12.9462699,-2.85028,6.0727682,-1.42178,13.4801367,-0.826378
5.6056014,-6.29465,13.0130366,-1.94118,6.1394682,-2.4017,13.5469034,-1.9073
5.6723681,-5.69312,13.0797366,-4.88105,6.2062349,-3.00439,13.6136034,-2.38258
5.7390681,-5.26355,13.1465033,-2.78762,6.2729349,-3.462,13.6803701,-2.78371
5.8058348,-5.31647,13.2132033,-0.590424,6.3397016,-3.68196,13.7470701,-3.21896
5.8725348,-5.11104,13.27997,-1.64899,6.4064016,-3.84565,13.8138368,-3.39679
5.9393015,-4.81441,13.34667,-2.34492,6.4731683,-3.88896,13.8805368,-3.30701
6.0060015,-4.59232,13.4134367,-2.97351,6.5398683,-3.99636,13.9473035,-3.27086
6.0727682,-4.37932,13.4801367,-0.382095,6.606635,-4.04109,14.0140035,-3.5114
6.1394682,-3.9886,13.5469034,-2.377,6.673335,-3.99823,14.0807702,-3.76078
6.2062349,-3.37071,13.6136034,-2.04771,6.7401017,-3.92625,14.1474702,-3.6339
6.2729349,-3.19496,13.6803701,-1.49438,6.8068017,-3.42988,14.2142369,-3.28915
6.3397016,-2.77211,13.7470701,0.0198212,6.8735684,-3.09383,14.2809369,-3.05087
6.4064016,-2.34393,13.8138368,-0.712708,6.9402684,-2.67182,14.3477036,-2.70964
6.4731683,-2.03227,13.8805368,-1.31734,7.0070351,-2.35731,14.4144036,-2.25863
6.5398683,-1.57149,13.9473035,-0.157997,7.0737351,-1.94862,14.4811703,-1.85413
6.606635,-1.07176,14.0140035,-0.138947,7.1405018,-1.56216,14.5478703,-1.79421
6.673335,-0.573533,14.0807702,0.344978,7.2072018,-1.24192,14.614637,-1.37777
6.7401017,-0.436517,14.1474702,-0.903809,7.2739685,-0.760834,14.681337,-0.895645
6.8068017,-0.245339,14.2142369,0.514137,7.3406685,-0.563576,14.7481037,-0.53643
6.8735684,0.297921,14.2809369,0.665176,7.4074352,-0.187561,14.8148037,-0.353439
6.9402684,0.84435,14.3477036,0.533447,7.4741352,0.112518,14.8815704,-0.0458221
7.0070351,1.34262,14.4144036,-0.341957,7.5409019,0.579971,14.9482704,0.366409
7.0737351,1.28408,14.4811703,0.996002,7.6076019,0.790672,15.0150371,0.713799
7.1405018,1.25038,14.5478703,1.73215,7.6743686,0.87323,15.0817371,0.902336
7.2072018,1.53592,14.614637,0.629379,7.7410686,1.03882,15.1485038,0.975426
7.2739685,1.62757,14.681337,-0.322693,7.8078353,0.89901,15.2152038,0.871956
7.3406685,1.86686,14.7481037,0.128578,7.8745353,1.09334,15.2819705,0.882309
7.4074352,2.07818,14.8148037,1.48002,7.941302,1.3241,15.3486705,0.904625
7.4741352,2.09478,14.8815704,1.03811,8.008002,1.30885,15.4154372,1.19503
7.5409019,1.82441,14.9482704,1.16125,8.0747687,1.37129,15.4821372,1.35423
7.6076019,1.88904,15.0150371,0.785728,8.1414687,1.40945,15.5489039,1.4666
7.6743686,2.28756,15.0817371,1.42634,8.2082354,1.59173,15.6156039,1.51475
7.7410686,2.30917,15.1485038,0.662392,8.2749354,1.58441,15.6823706,1.47857
7.8078353,2.09111,15.2152038,0.891701,8.3417021,1.55351,15.7490706,1.50533
7.8745353,1.94297,15.2819705,1.26562,8.4084021,1.66705,15.8158373,1.49522
7.941302,2.36927,15.3486705,1.42504,8.4751688,1.62335,15.8825373,1.44096
8.008002,2.54914,15.4154372,0.729782,8.5418688,1.6928,15.949304,1.45049
8.0747687,2.34152,15.4821372,0.691269,8.6086355,1.57964,16.016004,1.47233
8.1414687,2.21598,15.5489039,1.50574,8.6753355,1.61666,16.0827707,1.54011
8.2082354,2.18712,15.6156039,2.05045,8.7421022,1.51747,16.1494707,1.53036
8.2749354,2.05199,15.6823706,0.945206,8.8088022,1.56084,16.2162374,1.43194
8.3417021,2.02993,15.7490706,0.0612183,8.8755689,1.37001,16.2829374,1.33477
8.4084021,1.89285,15.8158373,0.979111,8.9422689,1.43469,16.3497041,1.32755
8.4751688,1.93691,15.8825373,1.47259,9.0090356,1.4693,16.4164041,1.23454
8.5418688,1.91543,15.949304,0.931969,9.0757356,1.58207,16.4831708,1.40213
8.6086355,1.76258,16.016004,0.728615,9.1425023,1.44224,16.5498708,1.41956
8.6753355,1.60152,16.0827707,1.40034,9.2092023,1.53907,16.6166375,1.51787
8.7421022,1.53281,16.1494707,1.12753,9.275969,1.49401,16.6833375,1.32567
8.8088022,1.72563,16.2162374,0.853973,9.342669,1.37606,16.7501042,1.31609
8.8755689,1.53804,16.2829374,0.803993,9.4094357,1.27715,16.8168042,1.2747
8.9422689,1.51072,16.3497041,1.29281,9.4761357,1.31015,16.8835709,1.25674
9.0090356,1.37003,16.4164041,1.18154,9.5429024,1.25906,16.9502709,1.09186
9.0757356,1.27985,16.4831708,0.693825,9.6096024,1.16042,17.0170376,0.942917
9.1425023,1.27008,16.5498708,0.348961,9.6763691,1.08691,17.0837376,0.927803
9.2092023,1.39922,16.6166375,0.742249,9.7430691,1.17803,17.1505043,0.818077
9.275969,1.52784,16.6833375,0.787605,9.8098358,1.15401,17.2172043,0.751076
9.342669,1.46249,16.7501042,1.00195,9.8765358,1.09399,17.283971,0.955734
9.4094357,1.07415,16.8168042,1.1003,9.9433025,0.985802,17.350671,0.962303
9.4761357,0.990938,16.8835709,0.812737,10.0100025,0.980721,17.4174377,1.01697
9.5429024,1.15023,16.9502709,0.384071,10.0767692,0.799713,17.4841377,0.805603
9.6096024,1.18869,17.0170376,0.183121,10.1434692,0.863937,17.5509044,0.607315
9.6763691,1.08498,17.0837376,0.562836,10.2102359,0.791283,17.6176044,0.805183
